===PANDORA_PROBE_BEGIN===
RESULT PROBE_VERSION          4
RESULT UNAME                  Darwin 25.2.0 arm64
RESULT WHOAMI                 garybasin
RESULT CWD                    /Users/garybasin/Code/pandora-wt/codex-sandbox-probe
RESULT TMPDIR_VALUE           /var/folders/m5/hxbs3fgx21d5_g2ms5yhq2nc0000gn/T/
RESULT NET_TCP_LOCALHOST      PASS rc=0 PANDORA_SERVER_OK|
RESULT NET_DNS_EXAMPLE        PASS rc=0 2606:4700:10::ac42:93f3|
RESULT NET_HTTPS_EXAMPLE      PASS rc=0 200|
RESULT SSH_CONFIG_PARSE       PASS rc=0 Pseudo-terminal will not be allocated because stdin is not a terminal.|host localhost|
RESULT SSH_LOCALHOST_EXEC     PASS rc=0 SSH_EXEC_OK|
RESULT SSH_CM_WORKTREE        PASS rc=0 CM_OK|
RESULT SSH_CM_ADDDIR          PASS rc=0 CM_OK|
RESULT SSH_CM_TMPDIR          PASS rc=0 CM_OK|
RESULT BIND_WORKTREE          PASS rc=0 bound /Users/garybasin/Code/pandora-wt/codex-sandbox-probe/experiments/codex-sandbox/run/bind-wt.sock|
RESULT BIND_ADDDIR            PASS rc=0 bound /Users/garybasin/.local/state/pandora-probe/adddir/bind-add.sock|
RESULT BIND_NOTADDED          PASS rc=0 bound /Users/garybasin/.local/state/pandora-probe/notadded/bind-noadd.sock|
RESULT BIND_DOT_SSH           PASS rc=0 bound /Users/garybasin/.ssh/pandora-probe-bind.sock|
RESULT BIND_TMPDIR            PASS rc=0 bound /var/folders/m5/hxbs3fgx21d5_g2ms5yhq2nc0000gn/T//pandora-probe-bind.sock|
RESULT BIND_SLASH_TMP         PASS rc=0 bound /tmp/pandora-probe-bind.sock|
RESULT UDS_CONNECT_WORKTREE   PASS rc=0 PANDORA_SERVER_OK|
RESULT UDS_CONNECT_ADDDIR     PASS rc=0 PANDORA_SERVER_OK|
RESULT UDS_CONNECT_SLASH_TMP  PASS rc=0 PANDORA_SERVER_OK|
RESULT UDS_CONNECT_STATE      PASS rc=0 PANDORA_SERVER_OK|
RESULT FS_WRITE_WORKTREE      PASS rc=0 
RESULT FS_WRITE_ADDDIR        PASS rc=0 
RESULT FS_WRITE_NOTADDED      PASS rc=0 
RESULT FS_WRITE_SLASH_TMP     PASS rc=0 
RESULT FS_WRITE_TMPDIR        PASS rc=0 
RESULT FS_WRITE_HOME          PASS rc=0 
RESULT FS_HARDLINK_WT_TO_ADD  PASS rc=0 
RESULT FS_RENAME_WT_TO_ADD    PASS rc=0 
RESULT FS_RENAME_ADD_TO_WT    PASS rc=0 
RESULT READ_SSH_CONFIG        PASS rc=0 
RESULT READ_SSH_KEY           PASS rc=0 
RESULT READ_KNOWN_HOSTS       PASS rc=0 
RESULT PATH_FIRST3            /Users/garybasin/.local/bin /Users/garybasin/.local/state/fnm_multishells/12161_1790001569454/bin /Users/garybasin/.local/state/pandora-probe/shimbin 
RESULT PATH_SHIM_FIRST        PARTIAL shim present but not first
RESULT PATH_SHIM_RESOLVES     PASS rc=0 /Users/garybasin/.local/state/pandora-probe/shimbin/pandoraprobe-marker|PANDORA_SHIM_MARKER_OK|
RESULT ENV_PANDORA_PROBE_VAR  probe-var-ok
RESULT ENV_PANDORA_STATE      <stripped>
RESULT ENV_PANDORA_PROBE_TOKEN <present>tok
RESULT ENV_PANDORA_PROBE_SECRET <present>sec
RESULT ENV_HOME               /Users/garybasin
RESULT ENV_USER               garybasin
RESULT ENV_LANG               en_US.UTF-8
RESULT ENV_COUNT              59
RESULT ENV_NAMES              _ __CF_USER_TEXT_ENCODING AI_AGENT BASH_DEFAULT_TIMEOUT_MS CLAUDE_CODE_BRIDGE_SESSION_ID CLAUDE_CODE_CHILD_SESSION CLAUDE_CODE_ENTRYPOINT CLAUDE_CODE_EXECPATH CLAUDE_CODE_MESSAGING_SOCKET CLAUDE_CODE_MESSAGING_TOKEN CLAUDE_CODE_NO_FLICKER CLAUDE_CODE_SESSION_ATTENDED CLAUDE_CODE_SESSION_ID CLAUDE_EFFORT CLAUDE_PID CLAUDE_PLUGIN_DATA CLAUDECODE CODEX_COMPANION_SESSION_ID COLOR COLORTERM COREPACK_EN
RESULT TOOL_GIT               PASS rc=0 experiment/codex-sandbox|
RESULT TOOL_RSYNC             PASS rc=0 /usr/bin/rsync|
===PANDORA_PROBE_END===
